code,level,title,href,admin_path,parent_code,parent_title
2.7.5,3,5. Báo cáo công việc,/ld/thong-ke/bao-cao-cong-viec-mkt,/admin/ld/thong-ke/bao-cao-cong-viec-mkt,2.7,2.7 Báo cáo
2.7.6,3,6. Báo cáo kinh doanh hệ thống,/ld/thong-ke/bao-cao-kinh-doanh-he-thong,/admin/ld/thong-ke/bao-cao-kinh-doanh-he-thong,2.7,2.7 Báo cáo
2.8,2,2.8. Marketing Leader,#,,2,2. Marketing
2.8.1,3,1. Thống kê trưởng nhóm,/ld/marketing/thong-ke-truong-nhom,/admin/ld/marketing/thong-ke-truong-nhom,2.8,2.8. Marketing Leader
2.8.2,3,2 . Báo cáo công việc,/ld/thong-ke/bao-cao-cong-viec-mkt,/admin/ld/thong-ke/bao-cao-cong-viec-mkt,2.8,2.8. Marketing Leader
2.8.3,3,3. Báo cáo up sale,/ld/thong-ke/bao-cao-up-sale,/admin/ld/thong-ke/bao-cao-up-sale,2.8,2.8. Marketing Leader
2.9,2,2.9 Thương mại điện tử,#,,2,2. Marketing
2.9.1,3,1. Danh sách kết nối cửa hàng,/connect-shop-list,/admin/connect-shop-list,2.9,2.9 Thương mại điện tử
2.9.2,3,2. Danh sách kết nối sản phẩm,/connect-product-list,/admin/connect-product-list,2.9,2.9 Thương mại điện tử
2.9.3,3,3. Danh sách đơn hàng lỗi,/error-order-list,/admin/error-order-list,2.9,2.9 Thương mại điện tử
3,1,3. Khách hàng 360,#,,,
3.1,2,3.1 Quản lý khách hàng,/ld/customers/list-customers,/admin/ld/customers/list-customers,3,3. Khách hàng 360
3.2,2,3.2 Chiến dịch chăm sóc,/ld/customers/events,/admin/ld/customers/events,3,3. Khách hàng 360
3.3,2,3.3 Báo cáo,#,,3,3. Khách hàng 360
3.3.1,3,1. Thống kê khách hàng đa chiều,/ld/thong-ke/khach-hang-360-thong-ke-lan-mua-lai,/admin/ld/thong-ke/khach-hang-360-thong-ke-lan-mua-lai,3.3,3.3 Báo cáo
3.3.2,3,2. Thống kê khách hàng chi trả,/ld/thong-ke/bao-cao-khach-hang-chi-tra,/admin/ld/thong-ke/bao-cao-khach-hang-chi-tra,3.3,3.3 Báo cáo
4,1,4. Telesale,#,,,
4.1,2,4.1 Tác nghiệp telesale,/ld/sale/sale-tac-nghiep,/admin/ld/sale/sale-tac-nghiep,4,4. Telesale
4.2,2,4.2 Hồ sơ khách hàng,/ld/sale/danh-sach-khach-hang,/admin/ld/sale/danh-sach-khach-hang,4,4. Telesale
4.3,2,4.3 Bảng xếp hạng,/ld/sale/dashboard-sale,/admin/ld/sale/dashboard-sale,4,4. Telesale
4.4,2,4.4 Kho số thả nổi,/ld/sale/kho-so,/admin/ld/sale/kho-so,4,4. Telesale
4.5,2,4.5 Báo cáo,#,,4,4. Telesale
4.5.1,3,1. Sale KPI,/ld/sale/sale-kpi,/admin/ld/sale/sale-kpi,4.5,4.5 Báo cáo
4.5.2,3,2. Bảng tổng hợp chốt đơn,/ld/sale/bang-tong-hop-ban-hang,/admin/ld/sale/bang-tong-hop-ban-hang,4.5,4.5 Báo cáo
4.5.3,3,3. Báo cáo công việc sale,/ld/sale/bao-cao/bao-cao-cong-viec-sale,/admin/ld/sale/bao-cao/bao-cao-cong-viec-sale,4.5,4.5 Báo cáo
4.5.4,3,4. Báo cáo doanh số sale,/ld/sale/bao-cao-doanh-so-chi-tiet,/admin/ld/sale/bao-cao-doanh-so-chi-tiet,4.5,4.5 Báo cáo
4.5.5,3,5. Báo cáo doanh số,/ld/sale/bao-cao/bao-cao-doanh-so,/admin/ld/sale/bao-cao/bao-cao-doanh-so,4.5,4.5 Báo cáo
4.5.6,3,6. Báo cáo doanh số V2,/ld/sale/bao-cao/bao-cao-doanh-so-v2,/admin/ld/sale/bao-cao/bao-cao-doanh-so-v2,4.5,4.5 Báo cáo
4.5.7,3,7. CEO dashboard V2,/ld/sale/dash-board-v2,/admin/ld/sale/dash-board-v2,4.5,4.5 Báo cáo
4.5.8,3,8. Báo cáo lịch hẹn telesales,/ld/thong-ke/bao-cao-lich-hen-telesales,/admin/ld/thong-ke/bao-cao-lich-hen-telesales,4.5,4.5 Báo cáo
4.5.9,3,9. Báo cáo kinh doanh hệ thống,/ld/thong-ke/bao-cao-kinh-doanh-he-thong,/admin/ld/thong-ke/bao-cao-kinh-doanh-he-thong,4.5,4.5 Báo cáo
4.6,2,4.6 Báo cáo Leader,#,,4,4. Telesale
